rows,direction,part,of,file,start,end,pass,varietal,scanid
34,dir1,1,2,2017-06-30_10-01_22179657_10_20.tar.gz,1134.45,1154.25,1,cabernet sauvignon,2017-06-30_10-01
34,dir1,2,2,2017-06-30_10-01_22179657_10_21.tar.gz,1154.3,1158.2,1,cabernet sauvignon,2017-06-30_10-01
34,dir2,1,1,2017-06-30_10-01_22179657_10_21.tar.gz,1160.95,1195.1,1,cabernet sauvignon,2017-06-30_10-01
36,dir1,1,3,2017-06-30_10-01_22179657_10_21.tar.gz,1197.6,1214.25,1,cabernet sauvignon,2017-06-30_10-01
36,dir1,2,3,2017-06-30_10-01_22179657_10_22.tar.gz,1214.3,1274.25,1,cabernet sauvignon,2017-06-30_10-01
36,dir1,3,3,2017-06-30_10-01_22179657_10_23.tar.gz,1274.3,1305.2,1,cabernet sauvignon,2017-06-30_10-01
36,dir2,1,5,2017-06-30_10-01_22179657_10_23.tar.gz,1309.15,1334.25,1,cabernet sauvignon,2017-06-30_10-01
36,dir2,2,5,2017-06-30_10-01_22179657_10_24.tar.gz,1334.3,1394.25,1,cabernet sauvignon,2017-06-30_10-01
36,dir2,3,5,2017-06-30_10-01_22179657_10_25.tar.gz,1394.3,1454.25,1,cabernet sauvignon,2017-06-30_10-01
36,dir2,4,5,2017-06-30_10-01_22179657_10_26.tar.gz,1454.3,1514.2,1,cabernet sauvignon,2017-06-30_10-01
36,dir2,5,5,2017-06-30_10-01_22179657_10_27.tar.gz,1514.25,1532.9,1,cabernet sauvignon,2017-06-30_10-01
38,dir1,1,2,2017-06-30_10-01_22179657_10_27.tar.gz,1541.35,1574.2,1,cabernet sauvignon,2017-06-30_10-01
38,dir1,2,2,2017-06-30_10-01_22179657_10_28.tar.gz,1574.25,1582.5,1,cabernet sauvignon,2017-06-30_10-01
38,dir2,1,1,2017-06-30_10-01_22179657_10_28.tar.gz,1587.65,1613,1,cabernet sauvignon,2017-06-30_10-01
40,dir1,1,2,2017-06-30_10-01_22179657_10_28.tar.gz,1621.4,1634.2,1,cabernet sauvignon,2017-06-30_10-01
40,dir1,2,2,2017-06-30_10-01_22179657_10_29.tar.gz,1634.25,1643.05,1,cabernet sauvignon,2017-06-30_10-01
40,dir2,1,1,2017-06-30_10-01_22179657_10_29.tar.gz,1648.7,1671.7,1,cabernet sauvignon,2017-06-30_10-01
42,dir1,1,2,2017-06-30_10-01_22179657_10_29.tar.gz,1679.85,1694.2,1,cabernet sauvignon,2017-06-30_10-01
42,dir1,2,2,2017-06-30_10-01_22179657_10_30.tar.gz,1694.25,1699.3,1,cabernet sauvignon,2017-06-30_10-01
42,dir2,1,1,2017-06-30_10-01_22179657_10_30.tar.gz,1705.85,1746.55,1,cabernet sauvignon,2017-06-30_10-01
44,dir1,1,1,2017-06-30_10-01_22179657_10_31.tar.gz,1757.45,1790.4,1,cabernet sauvignon,2017-06-30_10-01
44,dir2,1,2,2017-06-30_10-01_22179657_10_31.tar.gz,1792.8,1814.2,1,cabernet sauvignon,2017-06-30_10-01
44,dir2,2,2,2017-06-30_10-01_22179657_10_32.tar.gz,1814.25,1822.95,1,cabernet sauvignon,2017-06-30_10-01
46,dir1,1,1,2017-06-30_10-01_22179657_10_32.tar.gz,1831.6,1851.3,1,cabernet sauvignon,2017-06-30_10-01
46,dir2,1,2,2017-06-30_10-01_22179657_10_32.tar.gz,1862.6,1874.2,1,cabernet sauvignon,2017-06-30_10-01
46,dir2,2,2,2017-06-30_10-01_22179657_10_33.tar.gz,1874.25,1886.45,1,cabernet sauvignon,2017-06-30_10-01
48,dir1,1,1,2017-06-30_10-01_22179657_10_33.tar.gz,1892.4,1912.8,1,cabernet sauvignon,2017-06-30_10-01
48,dir2,1,2,2017-06-30_10-01_22179657_10_33.tar.gz,1915.25,1934.2,1,cabernet sauvignon,2017-06-30_10-01
48,dir2,2,2,2017-06-30_10-01_22179657_10_34.tar.gz,1934.25,1943.6,1,cabernet sauvignon,2017-06-30_10-01
50,dir1,1,1,2017-06-30_10-01_22179657_10_34.tar.gz,1949.3,1973.65,1,cabernet sauvignon,2017-06-30_10-01
50,dir2,1,2,2017-06-30_10-01_22179657_10_34.tar.gz,1976.95,1994.2,1,cabernet sauvignon,2017-06-30_10-01
50,dir2,2,2,2017-06-30_10-01_22179657_10_35.tar.gz,1994.25,2002.2,1,cabernet sauvignon,2017-06-30_10-01
52,dir1,1,1,2017-06-30_10-01_22179657_10_35.tar.gz,2008.35,2030.95,1,cabernet sauvignon,2017-06-30_10-01
52,dir2,1,2,2017-06-30_10-01_22179657_10_35.tar.gz,2034.65,2054.2,1,cabernet sauvignon,2017-06-30_10-01
52,dir2,2,2,2017-06-30_10-01_22179657_10_36.tar.gz,2054.25,2059.75,1,cabernet sauvignon,2017-06-30_10-01
54,dir1,1,1,2017-06-30_10-01_22179657_10_36.tar.gz,2066,2087.1,1,cabernet sauvignon,2017-06-30_10-01
54,dir2,1,2,2017-06-30_10-01_22179657_10_36.tar.gz,2090.75,2114.2,1,cabernet sauvignon,2017-06-30_10-01
